Sample_Name	Channel	Global_metrics	Metric	value
GSM8461135	green	NON-POLYMORPHIC	NP (G) 5	345
GSM8461135	green	NON-POLYMORPHIC	NP (T)	644
GSM8461135	green	RESTORATION	Restore	19738
GSM8461135	green	SPECIFICITY I	GT Mismatch 1 (MM)	274
GSM8461135	green	SPECIFICITY I	GT Mismatch 1 (PM)	2457
GSM8461135	green	SPECIFICITY I	GT Mismatch 2 (MM)	373
GSM8461135	green	SPECIFICITY I	GT Mismatch 2 (PM)	5940
GSM8461135	green	SPECIFICITY I	GT Mismatch 3 (MM)	218
GSM8461135	green	SPECIFICITY I	GT Mismatch 3 (PM)	1332
GSM8461135	green	SPECIFICITY I	GT Mismatch 4 (MM)	236
GSM8461135	green	SPECIFICITY I	GT Mismatch 4 (PM)	529
GSM8461135	green	SPECIFICITY I	GT Mismatch 5 (MM)	237
GSM8461135	green	SPECIFICITY I	GT Mismatch 5 (PM)	351
GSM8461135	green	SPECIFICITY I	GT Mismatch 6 (MM)	306
GSM8461135	green	SPECIFICITY I	GT Mismatch 6 (PM)	180
GSM8461135	green	SPECIFICITY II	Specificity 1	514
GSM8461135	green	SPECIFICITY II	Specificity 2	427
GSM8461135	green	SPECIFICITY II	Specificity 3	442
GSM8461135	green	STAINING	Biotin (Bkg)	257
GSM8461135	green	STAINING	Biotin (High)	23243
GSM8461135	green	STAINING	Biotin(5K)	NA
GSM8461135	green	STAINING	DNP (Bkg)	355
GSM8461135	green	STAINING	DNP (High)	251
GSM8461135	green	STAINING	DNP(20K)	NA
GSM8461135	green	TARGET REMOVAL	Target Removal 1	418
GSM8461135	green	TARGET REMOVAL	Target Removal 2	490
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-C1	384
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-C2	1006
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-C3	9694
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-C4	9191
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-C5	10201
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-U1	378
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-U2	437
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-U3	561
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-U4	823
GSM8461135	red	BISULFITE CONVERSION I	BS Conversion I-U5	1136
GSM8461135	red	BISULFITE CONVERSION II	BS Conversion II-1	7868
GSM8461135	red	BISULFITE CONVERSION II	BS Conversion II-2	8782
