Sample	DetectionRate	Log2MethIntensity	Log2UnmethIntensity	Restoration	Staining_Green	Staining_Red	Extension_Green	Extension_Red	Hybridization_High/Medium	Hybridization_Medium/Low	Target_Removal_1	Target_Removal_2	Bisulfite_Conversion_I_Green	Bisulfite_Conversion_I_Green_(Bkg)	Bisulfite_Conversion_I_Red	Bisulfite_Conversion_I_Red_(Bkg)	Bisulfite_Conversion_II	Bisulfite_Conversion_II_(Bkg)	Specificity_I_Green	Specificity_I_Red	Specificity_II	Specificity_II_(Bkg)	Non-polymorphic_Green	Non-polymorphic_Red
GSM8461155_208066090025_R06C01	0.9994	11.717	11.313	4.10886610373945	109.267857142857	86.3829787234042	47.0221518987342	32.7238239757208	1.67005582137161	2.0201369311317	16.6633165829146	13.264	10.255391600454	3.7639046538025	3.73006351446718	1.29110797459421	6.44336569579288	2.68284789644013	6.92513368983957	3.5286317058469	17.9854721549637	8.02905569007264	9.99120234604105	23.9102040816327
GSM8461156_208066090025_R07C01	0.9988	11.415	11.271	4.44671269888922	113.086206896552	69.6233333333333	48.2356495468278	32.2976022566996	1.70343770947046	2.04363992172211	14.8044444444444	13.0627450980392	5.85979381443299	3.4340206185567	4.21210579857579	1.88657171922686	8.55355249204666	3.53234358430541	10.4416058394161	3.7487091222031	17.75	9.25277777777778	9.3515625	16.5336617405583
GSM8461157_208066090025_R08C01	0.9988	11.57	10.419	4.91050583657588	111.166666666667	63.7579250720461	46.6510263929619	24.515	1.73654501216545	2.44003799572548	20.1265060240964	18.1576086956522	14.4509803921569	6.55098039215686	6.45911949685535	2.79524807826695	8.39353400222965	3.72463768115942	5.76168224299065	4.00100502512563	23.7237237237237	10.033033033033	15.0703883495146	17.1801652892562
GSM8461158_208066090026_R01C01	0.9993	11.461	11.172	3.29916640938561	94.4149659863946	97.7100591715976	45.2928870292887	34.869918699187	1.67533692722372	1.93279499869758	17.4139784946237	16.6102564102564	8.90684133915575	4.71470160116448	3.56862745098039	1.59233926128591	5.18825910931174	3.27834008097166	10.6417910447761	4.78310104529617	25.4793103448276	11.1689655172414	10.3153153153153	15.5458937198068
GSM8461159_208066090026_R02C01	0.9993	11.267	11.056	3.77999386314821	127.196850393701	85.6571428571429	49.7567567567568	27.7534246575342	1.65184430866712	2.05774155995343	17.6162162162162	12.6809338521401	14.0782828282828	8.22979797979798	7.4	3.657	8.51743375174338	4.54532775453278	11.8520710059172	4.44042056074766	26.1509433962264	12.2981132075472	11.4394618834081	11.1510204081633
GSM8461160_208066090026_R03C01	0.9994	11.033	11.407	4.13397706698853	112.109195402299	65.0680272108844	47.9267515923567	32.9552495697074	1.67901466716811	2.10322325489421	13.9831223628692	11.2338983050847	8.14746543778802	5.09062980030722	4.7379949452401	3.01684919966302	5.4009942004971	2.74565037282519	5.71497584541063	3.49511400651466	10.2055084745763	7.02118644067797	8.26608695652174	14.4229508196721
GSM8461161_208066090026_R04C01	0.9994	11.319	11.591	4.18375299760192	109.905325443787	55.3343558282209	44.2380952380952	30.8404605263158	1.66577460600654	1.99229857819905	16.2731707317073	11.009900990099	10.0815752461322	4.69198312236287	4.54452239611441	1.94711279007016	5.03900414937759	2.76846473029046	9.41592920353982	3.83574879227053	16.0591259640103	8.57583547557841	10.1191275167785	18.3170254403131
GSM8461162_208066090026_R05C01	0.9993	11.505	10.421	4.14138972809668	111.964071856287	55.0131926121372	49.1967741935484	27.6824966078697	1.64936290703162	1.99641982287545	15.3240740740741	12.9803921568627	16.1538461538462	8.21339950372208	5.62894375857339	2.56310013717421	7.95295295295295	3.31331331331331	11.5235294117647	3.62788550323176	11.8722741433022	10.3115264797508	8.41588785046729	19.6593625498008
GSM8461163_208066090026_R06C01	0.9996	11.887	11.293	4.55852340936375	103.956043956044	75.9357429718875	49.789156626506	29.4887323943662	1.67313071042327	2.04499523355577	13.3815261044177	10.6114649681529	6.99643493761141	2.96969696969697	4.73246492985972	1.85871743486974	6.26584867075665	3.40695296523517	9.17857142857143	3.97370806890299	24.3175853018373	8.74540682414698	9.2301013024602	14.4311774461028
GSM8461164_208066090026_R07C01	0.9995	11.613	11.281	4.75598227474151	108.255208333333	58.5657142857143	43.974025974026	28.2813738441215	1.72941921476389	2.00362515860069	14.5905172413793	10.7802547770701	8.67276641550054	3.64370290635091	6.06175920149719	2.34373050530256	5.47242206235012	2.70583533173461	7.11111111111111	3.03655172413793	16.2253829321663	7.40700218818381	9.39124087591241	15.2435703479576
GSM8461165_208066090026_R08C01	0.9994	11.714	11.264	4.54239256678281	101.961722488038	56.8051948051948	35.8265765765766	28.2926525529265	1.84355057048927	1.99884035562428	14.9090909090909	12.2562277580071	11.7140902872777	4.71135430916553	5.15799803729146	1.86604514229637	5.76723498888065	2.55300222386953	8.31226765799257	4.85099052540913	19.3605769230769	8.27884615384615	9.40960451977401	17.3048433048433
GSM8461166_208066090043_R01C01	0.9992	11.459	10.652	3.22177914110429	93.0805369127517	82.3886255924171	43.2346153846154	31.6503496503496	1.68286513114099	1.95649908830425	23.4532374100719	16.2189054726368	5.48796296296296	3.01851851851852	4.77441860465116	2.07674418604651	7.41970802919708	3.96593673965937	7.59649122807018	3.59485530546624	25.1503496503496	11.3986013986014	14.1305483028721	21.3264840182648
